UniprotID	ID	lineage	domain	phylum	class	order	family	genus	species
A3MVX3	UNIPROT:A3MVX3_PYRCJ	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculumcalidifontis	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculumcalidifontis
Q9Y8S7	UNIPROT:Q9Y8S7_AERPE	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Aeropyrum;s__Aeropyrumpernix	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Desulfurococcales	f__Desulfurococcaceae	g__Aeropyrum	s__Aeropyrumpernix
Q96XX7	UNIPROT:Q96XX7_SULTO	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfurisphaera;s__Sulfurisphaeratokodaii	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Sulfolobales	f__Sulfolobaceae	g__Sulfurisphaera	s__Sulfurisphaeratokodaii
A0A2T9WNM6	UNIPROT:A0A2T9WNM6_9CREN	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Sulfolobales	f__Sulfolobaceae	g__Sulfolobus	s__
A0A2U9III4	UNIPROT:A0A2U9III4_9CREN	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus	s__
A0A2U9IL89	UNIPROT:A0A2U9IL89_9CREN	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianussulfidivorans	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus	s__Acidianussulfidivorans
H6Q795	UNIPROT:H6Q795_PYROT	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculumoguniense	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculumoguniense
F4B7D6	UNIPROT:F4B7D6_ACIHW	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianushospitalis	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus	s__Acidianushospitalis
A0A2T9X8L6	UNIPROT:A0A2T9X8L6_9CREN	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus	s__
A0A2U9IX37	UNIPROT:A0A2U9IX37_9CREN	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaerahakonensis	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Sulfolobales	f__Sulfolobaceae	g__Metallosphaera	s__Metallosphaerahakonensis
