UniprotID	ID	lineage	domain	phylum	class	order	family	genus	species
Q6WIG0	UNIPROT:Q6WIG0_9BACI	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Salisediminibacterium;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Salisediminibacterium	s__
Q5Y818	UNIPROT:ARRA_CHRAT	d__Bacteria;p__Chrysiogenota;c__Chrysiogenetes;o__Chrysiogenales;f__Chrysiogenaceae;g__Chrysiogenes;s__	d__Bacteria	p__Chrysiogenota	c__Chrysiogenetes	o__Chrysiogenales	f__Chrysiogenaceae	g__Chrysiogenes	s__
A0A1I3R667	UNIPROT:A0A1I3R667_9EURY	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natronobacterium;s__	d__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Natronobacterium	s__
M0MPE3	UNIPROT:M0MPE3_9EURY	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Halobiforma;s__Halobiformanitratireducens	d__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Halobiforma	s__Halobiformanitratireducens
W0DML2	UNIPROT:W0DML2_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Thioalkalivibrio;s__Thioalkalivibrioparadoxus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Thioalkalivibrio	s__Thioalkalivibrioparadoxus
H5Y2I7	UNIPROT:H5Y2I7_9FIRM	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinusyoungiae	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinusyoungiae
D9Y335	UNIPROT:D9Y335_9BURK	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__	g__	s__
F3QH81	UNIPROT:F3QH81_9BURK	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__Parasutterellaexcrementihominis	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Parasutterella	s__Parasutterellaexcrementihominis
A5GCL4	UNIPROT:A5GCL4_GEOUR	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geotalea;s__Geotaleauraniireducens	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__Geotalea	s__Geotaleauraniireducens
A6TLY9	UNIPROT:A6TLY9_ALKMQ	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Alkaliphilus;s__Alkaliphilusmetalliredigens	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Alkaliphilus	s__Alkaliphilusmetalliredigens
A8MGU8	UNIPROT:A8MGU8_ALKOO	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Alkaliphilus;s__Alkaliphilusoremlandii	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Alkaliphilus	s__Alkaliphilusoremlandii
B3E6P6	UNIPROT:B3E6P6_TRIL1	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Trichlorobacter;s__Trichlorobacterlovleyi	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__Trichlorobacter	s__Trichlorobacterlovleyi
D6XXR4	UNIPROT:D6XXR4_BACIE	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Salisediminibacterium;s__Salisediminibacteriumselenitireducens	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Salisediminibacterium	s__Salisediminibacteriumselenitireducens
