ID	lineage	domain	phylum	class	order	family	genus	species
L0JMP8	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinemapellirubrum	d__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinemapellirubrum
A0B626	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrixthermoacetophila	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrixthermoacetophila
G8M098	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acetivibrio;s__Acetivibrioclariflavus	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Acetivibrio	s__Acetivibrioclariflavus
A1SVU0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Psychromonadaceae;g__Psychromonas;s__Psychromonasingrahamii	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Psychromonadaceae	g__Psychromonas	s__Psychromonasingrahamii
K9VH31	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales;f__Oscillatoriaceae;g__Oscillatoria;s__Oscillatorianigro-viridis	d__Bacteria	p__Cyanobacteriota	c__Cyanophyceae	o__Oscillatoriales	f__Oscillatoriaceae	g__Oscillatoria	s__Oscillatorianigro-viridis
B3QYW3	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpetonthalassium	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chloroherpetonaceae	g__Chloroherpeton	s__Chloroherpetonthalassium
K9UD74	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Gomontiellales;f__Chamaesiphonaceae;g__Chamaesiphon;s__Chamaesiphonminutus	d__Bacteria	p__Cyanobacteriota	c__Cyanophyceae	o__Gomontiellales	f__Chamaesiphonaceae	g__Chamaesiphon	s__Chamaesiphonminutus
Q8EJD2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanellaoneidensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Shewanellaceae	g__Shewanella	s__Shewanellaoneidensis
Q3A8I0	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae;g__Syntrophotalea;s__Syntrophotaleacarbinolica	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfuromonadia	o__Desulfuromonadales	f__Syntrophotaleaceae	g__Syntrophotalea	s__Syntrophotaleacarbinolica
A5EVW5	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Dichelobacter;s__Dichelobacternodosus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	g__Dichelobacter	s__Dichelobacternodosus
A0A088T3V6	d__Bacteria;p__Mycoplasmatota;c__CandidatusIzimaplasma;o__;f__;g__;s__	d__Bacteria	p__Mycoplasmatota	c__CandidatusIzimaplasma	o__	f__	g__	s__
D1YWD2	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__Methanocellapaludicola	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanocellales	f__Methanocellaceae	g__Methanocella	s__Methanocellapaludicola
A6QA61	d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__	d__Bacteria	p__Campylobacterota	c__Epsilonproteobacteria	o__Campylobacterales	f__Sulfurovaceae	g__Sulfurovum	s__
Q46SD4	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriaviduspinatubonensis	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriaviduspinatubonensis
A0A167AWA3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Ectothiorhodospira;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Ectothiorhodospira	s__
A6Q0Y6	d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Nautiliales;f__Nitratiruptoraceae;g__Nitratiruptor;s__	d__Bacteria	p__Campylobacterota	c__Epsilonproteobacteria	o__Nautiliales	f__Nitratiruptoraceae	g__Nitratiruptor	s__
