UniprotID	ID	lineage	domain	phylum	class	order	family	genus	species
O27408	tr|O27408|O27408_METTH/1-130	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacterthermautotrophicus	d__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanothermobacter	s__Methanothermobacterthermautotrophicus
O66910	tr|O66910|O66910_AQUAE/1-144	d__Bacteria;p__Aquificota;c__Aquificae;o__Aquificales;f__Aquificaceae;g__Aquifex;s__Aquifexaeolicus	d__Bacteria	p__Aquificota	c__Aquificae	o__Aquificales	f__Aquificaceae	g__Aquifex	s__Aquifexaeolicus
Q8U3B7	tr|Q8U3B7|Q8U3B7_PYRFU/1-147	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcusfuriosus	d__Archaea	p__Euryarchaeota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcusfuriosus
Q8RB24	tr|Q8RB24|Q8RB24_CALS4/1-144	d__Bacteria;p__Bacillota;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Caldanaerobacter;s__Caldanaerobactersubterraneus	d__Bacteria	p__Bacillota	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Caldanaerobacter	s__Caldanaerobactersubterraneus
Q8EJD4	tr|Q8EJD4|Q8EJD4_SHEON/3-153	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanellaoneidensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Shewanellaceae	g__Shewanella	s__Shewanellaoneidensis
Q7NVA4	tr|Q7NVA4|Q7NVA4_CHRVO/1-148	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacteriumviolaceum	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Neisseriales	f__Chromobacteriaceae	g__Chromobacterium	s__Chromobacteriumviolaceum
Q608V2	tr|Q608V2|Q608V2_METCA/1-151	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylococcus;s__Methylococcuscapsulatus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylococcus	s__Methylococcuscapsulatus
Q47I76	tr|Q47I76|Q47I76_DECAR/1-148	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Dechloromonas;s__Dechloromonasaromatica	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Azonexaceae	g__Dechloromonas	s__Dechloromonasaromatica
Q47CR1	tr|Q47CR1|Q47CR1_DECAR/1-150	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Dechloromonas;s__Dechloromonasaromatica	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Azonexaceae	g__Dechloromonas	s__Dechloromonasaromatica
Q47PM9	tr|Q47PM9|Q47PM9_THEFY/1-138	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Thermobifida;s__Thermobifidafusca	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Streptosporangiales	f__Nocardiopsaceae	g__Thermobifida	s__Thermobifidafusca
