ID	lineage	domain	phylum	class	order	family	genus	species
UNIPROT:A0A011PFG7_9PROT/54-322	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__CandidatusAccumulibacter;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__CandidatusAccumulibacter	s__
UNIPROT:A0A021VV75_9CELL/74-305	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Cellulomonadaceae;g__Actinotalea;s__Actinotaleaferrariae	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Actinotalea	s__Actinotaleaferrariae
UNIPROT:A0A023X7U1_9ACTN/1-267	d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__	d__Bacteria	p__Actinomycetota	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae	g__Rubrobacter	s__
UNIPROT:A0A059FTU7_9PROT/1-255	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae;g__Hyphomonas;s__Hyphomonasjohnsonii	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomonadales	f__Hyphomonadaceae	g__Hyphomonas	s__Hyphomonasjohnsonii
UNIPROT:A0A060HS67_9ARCH/1-253	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaeraviennensis	d__Archaea	p__Nitrososphaerota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Nitrososphaera	s__Nitrososphaeraviennensis
UNIPROT:A0A060NQ68_9BURK/1-280	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Serpentinimonas;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Serpentinimonas	s__
UNIPROT:A0A068NU34_FIMGI/1-303	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__Fimbriimonasginsengisoli	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__Fimbriimonasginsengisoli
UNIPROT:A0A076HPG8_9BACT/1-260	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Hymenobacteraceae	g__Hymenobacter	s__
UNIPROT:A0A081BCT1_9HYPH/1-276	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Parvibaculaceae;g__Tepidicaulis;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Parvibaculaceae	g__Tepidicaulis	s__
UNIPROT:A0A081BZI6_9BACT/1-286	d__Bacteria;p__;c__;o__;f__;g__CandidatusVecturithrix;s__	d__Bacteria	p__	c__	o__	f__	g__CandidatusVecturithrix	s__
UNIPROT:A0A094WA92_9BACT/76-351	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Leptospirillum;s__	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__
UNIPROT:A0A0B8XVC0_9SPHI/1-268	d__Bacteria;p__Bacteroidota;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	d__Bacteria	p__Bacteroidota	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__
UNIPROT:A0A0C5C8P8_9ARCH/4-264	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	d__Archaea	p__Nitrososphaerota	c__Nitrososphaeria	o__Nitrosopumilales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__
