UniprotID	ID	lineage	domain	phylum	class	order	family	genus	species
A0A974SPR3	tr|A0A974SPR3|A0A974SPR3_9RHOO	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Azospira;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Azospira	s__
A0A1V3A038	tr|A0A1V3A038|A0A1V3A038_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Thioalkalivibrio;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Thioalkalivibrio	s__
A0A1J5BD28	tr|A0A1J5BD28|A0A1J5BD28_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A2K9L971	tr|A0A2K9L971|A0A2K9L971_9RHOO	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__	s__
A0A2M7Y5P4	tr|A0A2M7Y5P4|A0A2M7Y5P4_9RHOO	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__	g__	s__
A0A161HTG2	tr|A0A161HTG2|A0A161HTG2_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Ectothiorhodospira;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Ectothiorhodospira	s__
A0A1F8YC78	tr|A0A1F8YC78|A0A1F8YC78_9DELT	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
Q0AC66	tr|Q0AC66|Q0AC66_ALKEH	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Alkalilimnicola;s__Alkalilimnicolaehrlichii	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Alkalilimnicola	s__Alkalilimnicolaehrlichii
A0A1F6TR29	tr|A0A1F6TR29|A0A1F6TR29_9PROT	d__Bacteria;p__Pseudomonadota;c__CandidatusMuproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__CandidatusMuproteobacteria	o__	f__	g__	s__
A0A6I7PXI7	tr|A0A6I7PXI7|A0A6I7PXI7_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__	s__
A0A6H0IVR2	tr|A0A6H0IVR2|A0A6H0IVR2_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Aquisalimonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Aquisalimonas	s__
A1WTY5	tr|A1WTY5|A1WTY5_HALHL	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Halorhodospira;s__Halorhodospirahalophila	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Halorhodospira	s__Halorhodospirahalophila
A0A1G0EIY6	tr|A0A1G0EIY6|A0A1G0EIY6_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__	g__	s__
A0A1F4DPU6	tr|A0A1F4DPU6|A0A1F4DPU6_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A6C1SNP7	tr|A0A6C1SNP7|A0A6C1SNP7_9PROT	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__	g__	s__
A0A1F4E3K9	tr|A0A1F4E3K9|A0A1F4E3K9_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A1G3IPF0	tr|A0A1G3IPF0|A0A1G3IPF0_9PROT	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__	g__	s__
A0A1V3NFM7	tr|A0A1V3NFM7|A0A1V3NFM7_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Thioalkalivibrio;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Thioalkalivibrio	s__
A0A7C4IDG6	tr|A0A7C4IDG6|A0A7C4IDG6_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A1N6YE33	tr|A0A1N6YE33|A0A1N6YE33_9RHOO	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Aromatoleum;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Aromatoleum	s__
A0A4R1Z1A1	tr|A0A4R1Z1A1|A0A4R1Z1A1_9RHOB	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Rhodovulum;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Paracoccaceae	g__Rhodovulum	s__
A0A554WV08	tr|A0A554WV08|A0A554WV08_9BURK	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__Tepidimonas;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__	g__Tepidimonas	s__
A0A6J4FE52	tr|A0A6J4FE52|A0A6J4FE52_9PROT	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Magnetospirillum;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Magnetospirillum	s__
A0A7Z0N0Z6	tr|A0A7Z0N0Z6|A0A7Z0N0Z6_9BURK	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__	s__
A0A265DUJ1	tr|A0A265DUJ1|A0A265DUJ1_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas;s__Halomonasboliviensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonasboliviensis
A0A368TT79	tr|A0A368TT79|A0A368TT79_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__
A0A5C7ESL3	tr|A0A5C7ESL3|A0A5C7ESL3_9PROT	d__Bacteria;p__Pseudomonadota;c__Hydrogenophilia;o__;f__;g__Pelomicrobium;s__	d__Bacteria	p__Pseudomonadota	c__Hydrogenophilia	o__	f__	g__Pelomicrobium	s__
H1G3R7	tr|H1G3R7|H1G3R7_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Ectothiorhodospira;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Ectothiorhodospira	s__
W7Q0X4	tr|W7Q0X4|W7Q0X4_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__
