ID	UniProt	lineage	domain	phylum	class	order	family	genus	species
A0A059EBA1|A0A059EBA1_9PROT/1-147	A0A059EBA1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae;g__Hyphomonas;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomonadales	f__Hyphomonadaceae	g__Hyphomonas	s__
A0A059MIA2|A0A059MIA2_9NOCA/1-164	A0A059MIA2	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Nocardiaceae	g__Rhodococcus	s__
A0A059XVW0|A0A059XVW0_9BACT/1-146	A0A059XVW0	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Leptospirillum;s__Leptospirillumferriphilum	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillumferriphilum
A0A094PIG0|A0A094PIG0_9ACTN/1-142	A0A094PIG0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
A0A0C1Z935|A0A0C1Z935_9BACT/22-188	A0A0C1Z935	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__;g__Enhygromyxa;s__	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__	g__Enhygromyxa	s__
A0A0D6EU76|A0A0D6EU76_9PROT/1-152	A0A0D6EU76	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Methylophilaceae;g__CandidatusMethylopumilus;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__CandidatusMethylopumilus	s__
A0A0N1B8R3|A0A0N1B8R3_9PROT/1-171	A0A0N1B8R3	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A0Q6BMR6|A0A0Q6BMR6_9PROT/1-144	A0A0Q6BMR6	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Methylophilaceae;g__Methylophilus;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methylophilus	s__
A0A0Q8EYS0|A0A0Q8EYS0_9GAMM/1-156	A0A0Q8EYS0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__Pseudoxanthomonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Lysobacterales	f__Lysobacteraceae	g__Pseudoxanthomonas	s__
A0A0Q8Q841|A0A0Q8Q841_9BURK/1-165	A0A0Q8Q841	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Noviherbaspirillum	s__
A0A0S4LAG6|A0A0S4LAG6_9BACT/1-141	A0A0S4LAG6	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__
A0A0S8F0Y8|A0A0S8F0Y8_9GAMM/1-130	A0A0S8F0Y8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A109LUW2|A0A109LUW2_9SPHN/1-140	A0A109LUW2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Erythrobacter	s__
A0A136PCR1|A0A136PCR1_9BACT/8-175	A0A136PCR1	d__Bacteria;p__Chlorobiota;c__;o__;f__;g__;s__	d__Bacteria	p__Chlorobiota	c__	o__	f__	g__	s__
A0A142LML4|A0A142LML4_9PROT/1-166	A0A142LML4	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A177Q2C0|A0A177Q2C0_9BACT/6-158	A0A177Q2C0	d__Bacteria;p__;c__;o__;f__;g__;s__	d__Bacteria	p__	c__	o__	f__	g__	s__
A0A193LI45|A0A193LI45_9GAMM/1-152	A0A193LI45	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__Woeseia;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Woeseiales	f__Woeseiaceae	g__Woeseia	s__
A0A1D8IQU2|A0A1D8IQU2_9GAMM/1-151	A0A1D8IQU2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Acidihalobacter;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Acidihalobacter	s__
A0A1D8TTH9|A0A1D8TTH9_9CYAN/1-151	A0A1D8TTH9	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales;f__Oscillatoriaceae;g__Moorena;s__Moorenaproducens	d__Bacteria	p__Cyanobacteriota	c__Cyanophyceae	o__Oscillatoriales	f__Oscillatoriaceae	g__Moorena	s__Moorenaproducens
A0A1E5T095|A0A1E5T095_9BACT/1-133	A0A1E5T095	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Roseivirgaceae;g__Roseivirga;s__	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Roseivirgaceae	g__Roseivirga	s__
A0A1G8MQM0|A0A1G8MQM0_9BACI/1-132	A0A1G8MQM0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alteribacillus;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Alteribacillus	s__
A0A1H3E8U0|A0A1H3E8U0_9ACTN/1-156	A0A1H3E8U0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Geodermatophilales;f__Geodermatophilaceae;g__Geodermatophilus;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Geodermatophilales	f__Geodermatophilaceae	g__Geodermatophilus	s__
A0A1H3S9J5|A0A1H3S9J5_9BACL/1-147	A0A1H3S9J5	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae;g__Thermoactinomyces;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Thermoactinomycetaceae	g__Thermoactinomyces	s__
