ID	lineage	domain	phylum	class	order	family	genus	species
tr|Q8ED91|Q8ED91_SHEON/1-116	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanellaoneidensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Shewanellaceae	g__Shewanella	s__Shewanellaoneidensis
tr|Q7NZZ9|Q7NZZ9_CHRVO/1-116	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacteriumviolaceum	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Neisseriales	f__Chromobacteriaceae	g__Chromobacterium	s__Chromobacteriumviolaceum
tr|Q65R44|Q65R44_MANSM/1-116	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Basfia;s__[Mannheimia]succiniciproducens	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Basfia	s__[Mannheimia]succiniciproducens
tr|Q604L9|Q604L9_METCA/1-116	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylococcus;s__Methylococcuscapsulatus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylococcus	s__Methylococcuscapsulatus
tr|Q5R154|Q5R154_IDILO/1-115	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Idiomarinaceae;g__Idiomarina;s__Idiomarinaloihiensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Idiomarinaceae	g__Idiomarina	s__Idiomarinaloihiensis
tr|Q5F5K0|Q5F5K0_NEIG1/1-117	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseriagonorrhoeae	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	s__Neisseriagonorrhoeae
tr|Q47Z83|Q47Z83_COLP3/1-118	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;s__Colwelliapsychrerythraea	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Colwelliaceae	g__Colwellia	s__Colwelliapsychrerythraea
tr|Q471P2|Q471P2_CUPPJ/1-140	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriaviduspinatubonensis	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriaviduspinatubonensis
tr|Q3JEM7|Q3JEM7_NITOC/1-116	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Nitrosococcus;s__Nitrosococcusoceani	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Nitrosococcus	s__Nitrosococcusoceani
tr|Q31GC1|Q31GC1_HYDCU/1-117	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Hydrogenovibrio;s__Hydrogenovibriocrunogenus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Piscirickettsiaceae	g__Hydrogenovibrio	s__Hydrogenovibriocrunogenus
